Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
SCHIMANS,9.21037e-05,3.40888e-05,0.624608,0.96347,0.21123,2.04996,0.164162,-0.0181453,0.5,1.0
N45,6.87738e-05,8.13773e-06,0.65885,0.863137,7.2012e-05,5.84765,0.341078,-0.0160896,0.5,1.0
OPHIHANN26,0.00016618,2.25626e-05,0.36054,0.836197,1.15009e-05,6.69453,0.639448,-0.0065392,0.5,1.0
N50,10.0,0.0900586,0.0,0.833465,0.0,141.392,1.0,-0.0206568,0.5,1.0
N2,0.551884,1.0,1.0,0.840187,0.0,1.42385,0.0,0.0,1.0,1.0
LIOPPOEC,0.241744,0.278216,1.0,0.375789,0.0,1.41741,0.0,0.0,1.0,1.0
TELEDHAR,0.859111,0.813443,1.0,0.834581,0.0,1.42989,0.0,0.0,1.0,1.0
THRAJACK1,0.357424,0.46079,1.0,0.850197,0.0,1.45564,0.0,0.0,1.0,1.0
OPHIHANN19,0.0,0.0,1.0,0.857335,0.0,1.4696,0.0,0.0,1.0,1.0
OPHIHANN10,10.0,0.0908285,0.00942904,0.852215,0.00931131,0.00259534,0.98126,0.0,1.0,1.0
OPHIHANN27,0.633483,0.807151,0.0,0.666038,1.0,1.45598,0.0,0.0,1.0,1.0
OPHIHANN21,0.0,0.0,1.0,0.850885,0.0,1.47138,0.0,0.0,1.0,1.0
N32,0.253416,0.0151119,1.0,0.858169,0.0,1.74811,0.0,0.0,1.0,1.0
OPHIHANN16,0.779138,0.494541,0.483996,0.856231,0.0,0.495128,0.516004,0.0,1.0,1.0
OPHIHANN17,0.262182,0.322827,1.0,0.860025,0.0,1.47866,0.0,0.0,1.0,1.0
N35,1.39463,0.932801,0.0,1.0,1.0,0.934036,0.0,0.0,1.0,1.0
N43,0.543524,0.3958,0.804859,0.392595,0.0408112,0.0,0.15433,0.0,1.0,1.0
LACHMUTA,1.58571,0.0880072,1.0,0.134133,0.0,0.178242,0.0,0.0,1.0,1.0
MUSMUSC,0.087509,0.0616492,0.753751,0.495419,0.246249,1.07343,0.0,0.0,1.0,1.0
PANTROG,0.0,0.0,1.0,0.8295,0.0,1.39039,0.0,0.0,1.0,1.0
PONGABEL,0.18042,0.191754,1.0,0.839006,0.0,1.41407,0.0,0.0,1.0,1.0
MACAMULA,0.235056,0.249975,1.0,0.839785,0.0,1.40596,0.0,0.0,1.0,1.0
N47,0.0445662,0.0478627,1.0,0.83911,0.0,1.42174,0.0,0.0,1.0,1.0
N48,0.0870091,0.107211,1.0,0.833383,0.0,1.37845,0.0,0.0,1.0,1.0
BOSTAUR,0.0842446,0.0772806,1.0,0.834524,0.0,1.40792,0.0,0.0,1.0,1.0
