E_ocellatus_83523637,Echis ocellatus,99586,ECHIOCEL0
E_ocellatus_83523645,Echis ocellatus,99586,ECHIOCEL0
E_ocellatus_83523643,Echis ocellatus,99586,ECHIOCEL0
E_ocellatus_83523625,Echis ocellatus,99586,ECHIOCEL0
Echis_ocellatus_113203666,Echis ocellatus,99586,ECHIOCEL0
E_polylepis_156485213,Enhydris polylepis,338839,ENHYPOLY0
E_polylepis_73346538,Enhydris polylepis,338839,ENHYPOLY0
E_polylepis_73346493,Enhydris polylepis,338839,ENHYPOLY0
Enhydris_polylepis_156485825,Enhydris polylepis,338839,ENHYPOLY0
Enhydris_polylepis_156485821,Enhydris polylepis,338839,ENHYPOLY0
E_caballus_149705827,Equus caballus,9796,EQUUCABA0
Equus_caballus_149757663,Equus caballus,9796,EQUUCABA0
G_gallus_363732579,Gallus gallus,9031,GALLGALL0
G_gallus_32169281,Gallus gallus,9031,GALLGALL0
G_gallus_603902,Gallus gallus,9031,GALLGALL0
G_gallus_363740242,Gallus gallus,9031,GALLGALL0
Gallus_gallus_211714,Gallus gallus,9031,GALLGALL0
Gallus_gallus_118112382,Gallus gallus,9031,GALLGALL0
Gallus_gallus_118082225,Gallus gallus,9031,GALLGALL0
Gallus_gallus_63697,Gallus gallus,9031,GALLGALL0
Gallus_gallus_212464,Gallus gallus,9031,GALLGALL0
Gallus_gallus_211239,Gallus gallus,9031,GALLGALL0
G_infernalis_300872846,Gerrhonotus infernalis,310520,GERRINFE0
G_infernalis_300872892,Gerrhonotus infernalis,310520,GERRINFE0
G_infernalis_300872894,Gerrhonotus infernalis,310520,GERRINFE0
Gerrhonotus_infernalis_300872854,Gerrhonotus infernalis,310520,GERRINFE0
G_blomhoffi_21305550,Gloydius blomhoffi,242054,GLOYBLOM0
G_blomhoffi_15887053,Gloydius blomhoffi,242054,GLOYBLOM0
G_halys_29293674,Gloydius halys,8714,GLOYHALY0
G_halys_38426270,Gloydius halys,8714,GLOYHALY0
G_ussuriensis_2407644,Gloydius ussuriensis,35671,GLOYUSSU0
G_ussuriensis_18389602,Gloydius ussuriensis,35671,GLOYUSSU0
H_horridum_1101004,Heloderma horridum,8551,HELOHORR0
H_horridum_301071100,Heloderma horridum,8551,HELOHORR0
H_suspectum_190700978,Heloderma suspectum,8554,HELOSUSP0
H_suspectum_cinctum,Heloderma suspectum,8554,HELOSUSP0
Heloderma_suspectum_190700994,Heloderma suspectum,8554,HELOSUSP0
H_sapiens_85396870,Homo sapiens,9606,HOMOSAPI0
H_sapiens_1015996,Homo sapiens,9606,HOMOSAPI0
H_sapiens_77863172,Homo sapiens,9606,HOMOSAPI0
H_sapiens_2558911,Homo sapiens,9606,HOMOSAPI0
